feature_name,importance
cg27190654,2.3162723
cg05053562,1.9634693
cg19873199,1.9038576
cg06655952,1.8454326
cg26714489,1.8319167
cg16018002,1.7977263
cg26195829,1.7953701
cg24914483,1.7498015
cg11786776,1.7027638
cg24781973,1.5701321
cg12147906,1.5375339
cg04922880,1.506757
cg13651986,1.5004927
cg09655116,1.4880072
cg25887811,1.4856921
cg02840179,1.4731833
cg01756638,1.4716301
cg15889703,1.4628165
cg24539937,1.430975
cg09346547,1.4297663
cg19523029,1.4253768
cg25717823,1.4215772
cg00806214,1.3959503
cg22017146,1.395668
cg00056754,1.392283
cg17033333,1.391981
cg14629571,1.3862972
cg22926247,1.3856511
cg03663674,1.3823854
cg13315995,1.3809657
cg17907739,1.3669076
cg00519063,1.3644818
cg02071553,1.3629308
cg05946309,1.3626394
cg18803856,1.3539528
cg04992250,1.344078
cg14801669,1.3340763
cg07105409,1.3313324
cg17100528,1.3312169
cg23571170,1.3170751
cg14259326,1.3146744
cg01460435,1.3128105
cg14433428,1.307761
cg19225026,1.2997875
cg17891977,1.2902814
cg13319501,1.2833227
cg01141339,1.2813852
cg16964117,1.2679311
cg07558704,1.2651069
cg08038054,1.2600862
cg12032663,1.2597876
cg02439266,1.2455055
cg02769477,1.2319294
cg08597733,1.2125629
cg20146909,1.1919981
cg23600438,1.1890829
cg08716013,1.1867484
cg09680131,1.1837304
cg13968061,1.1804998
cg07089161,1.1803128
cg13592565,1.1764019
cg08508455,1.1723053
cg15689733,1.1709421
cg08326410,1.170268
cg19740964,1.1611441
cg05525374,1.1569198
cg11754778,1.1561056
cg14935163,1.1538265
cg18924848,1.1520176
cg04345118,1.150722
cg26540191,1.1500365
cg19145886,1.1493676
cg08856842,1.1468931
cg26112871,1.1457974
cg09614400,1.1445038
cg02239453,1.139089
cg18424470,1.1359973
cg06329684,1.1334028
cg23366979,1.1257753
cg18007559,1.1205981
cg01206349,1.1202126
cg04972930,1.1183093
cg24885631,1.1174418
cg27617780,1.1166775
cg24311564,1.1092478
cg24368167,1.1035098
cg03795587,1.101504
cg25421092,1.1014123
cg17573301,1.0998335
cg25098793,1.0934435
cg06361383,1.0923941
cg13822242,1.0881245
cg04290826,1.0870848
cg14029201,1.0858023
cg16457477,1.0851399
cg21218053,1.0843045
cg07719617,1.0736419
